tileshape0,tileshape1,tileshape2,clustershape0,clustershape1,runtime(ms),GFLOPS,峰值性能占比,峰值性能989.4TFLOPS
256,64,16,16,1,4.10593,209208,0.211449363,
64,128,64,1,4,4.11457,208769,0.21100566,
128,64,32,8,2,4.11959,208515,0.210748939,
128,64,32,1,8,4.13221,207878,0.210105114,
128,64,32,1,16,4.14621,207176,0.209395593,
64,128,64,1,8,4.14626,207173,0.209392561,
64,256,64,1,1,4.18085,205459,0.207660198,
128,256,16,1,2,4.18618,205197,0.207395391,
64,128,64,1,2,4.19788,204625,0.206817263,
128,128,16,2,2,4.25623,201820,0.203982211,
128,64,16,16,1,4.26312,201494,0.203652719,
128,128,16,8,1,4.28092,200656,0.202805741,
128,64,16,4,1,4.3159,199030,0.201162321,
64,256,16,4,4,4.3292,198419,0.200544775,
64,256,16,1,16,4.34274,197800,0.199919143,
64,256,16,1,1,4.34509,197693,0.199810997,
64,128,128,1,8,4.34767,197576,0.199692743,
128,64,128,4,1,4.35175,197390,0.19950475,
64,64,128,1,16,4.37637,196280,0.198382858,
64,128,32,2,1,4.39733,195344,0.19743683,
128,128,16,16,1,4.40654,194936,0.197024459,
64,256,16,8,2,4.40974,194794,0.196880938,
64,64,128,8,1,4.42297,194212,0.196292703,
64,64,128,1,8,4.43483,193692,0.195767132,
128,64,128,2,1,4.45264,192918,0.194984839,
256,64,16,1,1,4.53615,189366,0.191394785,
128,128,16,1,16,4.68165,183481,0.185446735,
64,64,64,8,1,4.69109,183112,0.185073782,
64,256,128,4,1,4.73403,181451,0.183394987,
128,128,16,4,1,4.78267,179605,0.18152921,
64,128,128,1,1,4.79361,179195,0.181114817,
128,64,32,16,1,4.84898,177149,0.179046897,
128,64,32,8,1,4.87265,176289,0.178177683,
64,64,16,2,8,4.91106,174910,0.176783909,
64,64,128,4,1,4.91988,174596,0.176466545,
128,64,128,8,1,4.95325,173420,0.175277946,
64,256,128,1,2,4.96025,173175,0.175030321,
128,256,16,1,1,4.99849,171851,0.173692137,
64,64,16,8,2,5.06053,169744,0.171562563,
64,128,128,1,16,5.06058,169742,0.171560542,
64,64,64,1,4,5.0777,169170,0.170982414,
64,64,16,4,1,5.08087,169064,0.170875278,
64,128,64,1,1,5.09905,168462,0.170266828,
64,128,16,4,2,5.14385,166994,0.168783101,
64,256,128,1,4,5.2019,165131,0.166900141,
64,128,16,2,8,5.20695,164970,0.166737417,
64,128,16,2,4,5.23753,164007,0.165764099,
64,128,16,4,4,5.29023,162374,0.164113604,
64,64,128,2,1,5.30004,162073,0.163809379,
64,256,16,4,2,5.31437,161636,0.163367698,
64,64,16,1,16,5.38727,159449,0.161157267,
128,64,64,1,1,5.39031,159359,0.161066303,
64,64,16,16,1,5.4182,158539,0.160237518,
128,64,32,2,1,5.51582,155733,0.157401455,
64,64,16,2,1,5.56649,154315,0.155968264,
128,64,128,16,1,5.57618,154047,0.155697392,
64,64,64,16,1,5.59577,153508,0.155152618,
128,128,16,2,1,5.62525,152703,0.154338993,
64,64,128,16,1,5.67871,151266,0.152886598,
256,64,16,1,2,5.73339,149823,0.151428138,
64,64,16,1,2,5.76948,148886,0.1504811,
64,128,16,4,1,5.99079,143386,0.144922175,
64,128,16,2,2,6.19086,138752,0.140238528,
64,64,16,2,2,6.44474,133286,0.134713968,
64,64,16,4,2,6.7008,128193,0.129566404,
64,64,16,1,8,6.81272,126087,0.127437841,
64,128,16,2,1,6.83795,125622,0.126967859,
64,64,16,1,4,6.83826,125616,0.126961795,
64,128,16,1,8,6.86618,125105,0.12644532,
64,64,16,1,1,7.03524,122099,0.123407115,
64,64,128,1,1,7.07221,121460,0.122761269,
128,64,16,1,2,7.51918,114240,0.115463918,
128,128,16,1,1,7.66656,112044,0.113244391,
64,128,16,1,16,7.70444,111493,0.112687487,
64,128,16,1,4,7.70965,111418,0.112611684,
128,64,16,1,16,7.81631,109898,0.111075399,
64,128,16,1,2,8.25799,104020,0.105134425,
64,64,16,8,1,8.53322,100665,0.101743481,
128,64,16,2,1,9.59646,89511.5,0.090470487,
64,64,16,2,4,9.74477,88149.2,0.089093592,
64,128,16,1,1,9.84788,87226.2,0.088160703,
64,64,16,4,4,10.2641,83689,0.084585607,
128,64,16,1,1,11.6694,73610.9,0.074399535,
256,256,64,1,8,23.8697,35986.8,0.036372347,
256,256,64,2,4,23.9417,35878.6,0.036262988,
256,256,64,4,2,24.0444,35725.3,0.036108045,
256,256,32,2,4,24.1326,35594.7,0.035976046,
256,256,32,4,2,24.1729,35535.4,0.035916111,
256,256,128,16,1,24.2738,35387.7,0.035766828,
256,256,128,2,8,24.3733,35243.2,0.03562078,
256,256,32,1,8,24.3786,35235.5,0.035612998,
256,256,32,8,1,24.4012,35202.9,0.035580049,
256,256,16,1,4,24.4133,35185.5,0.035562462,
256,256,16,1,8,24.6782,34807.8,0.035180716,
256,256,32,1,4,24.6907,34790.1,0.035162826,
256,256,32,1,16,24.7461,34712.2,0.035084091,
256,256,16,2,4,24.7734,34674.1,0.035045583,
256,256,16,2,2,24.7744,34672.7,0.035044168,
256,256,32,4,1,24.7767,34669.4,0.035040833,
256,256,16,8,1,24.8109,34621.6,0.034992521,
256,256,16,4,2,24.8791,34526.7,0.034896604,
256,256,64,4,1,24.9548,34422,0.034790782,
256,256,16,2,1,24.9716,34398.9,0.034767435,
256,256,16,4,1,24.9824,34384,0.034752375,
256,256,16,1,16,25.0633,34273,0.034640186,
256,256,16,1,2,25.1108,34208.1,0.034574591,
256,256,16,16,1,25.2286,34048.4,0.03441318,
256,256,64,2,2,25.2398,34033.3,0.034397918,
256,256,64,1,4,25.2997,33952.8,0.034316555,
256,256,64,2,8,25.3022,33949.4,0.034313119,
256,256,64,8,1,25.3339,33906.8,0.034270063,
256,256,64,8,2,25.5315,33644.5,0.034004952,
256,256,32,4,4,25.6155,33534.2,0.033893471,
256,256,128,1,4,25.6377,33505,0.033863958,
256,256,128,1,8,25.6382,33504.5,0.033863453,
256,256,128,8,2,25.7044,33418.1,0.033776127,
256,256,128,1,2,25.7185,33399.9,0.033757732,
256,256,128,2,4,25.7503,33358.6,0.033715989,
256,256,64,16,1,25.7525,33355.8,0.033713159,
256,256,128,2,2,25.7945,33301.5,0.033658278,
256,256,32,2,2,25.8271,33259.4,0.033615727,
256,256,128,4,4,25.8789,33192.8,0.033548413,
256,256,128,8,1,25.9018,33163.5,0.033518799,
256,256,64,1,16,25.9337,33122.7,0.033477562,
256,256,128,1,16,25.9413,33113,0.033467758,
256,256,128,1,1,25.9441,33109.4,0.03346412,
256,256,128,2,1,25.945,33108.2,0.033462907,
256,256,128,4,1,25.9606,33088.3,0.033442794,
256,256,128,4,2,25.9653,33082.4,0.03343683,
256,256,32,2,8,26.086,32929.3,0.03328209,
256,256,32,1,2,26.1438,32856.5,0.03320851,
256,256,32,2,1,26.1509,32847.5,0.033199414,
256,256,32,16,1,26.2652,32704.6,0.033054983,
256,256,32,8,2,26.3542,32594.2,0.0329434,
256,256,16,1,1,26.47,32451.6,0.032799272,
256,256,16,4,4,26.6247,32263,0.032608652,
256,256,64,1,2,26.7603,32099.6,0.032443501,
256,256,64,2,1,26.8379,32006.7,0.032349606,
256,256,16,8,2,26.8438,31999.7,0.032342531,
256,256,16,2,8,26.9266,31901.3,0.032243077,
256,256,64,4,4,27.5423,31188.2,0.031522337,
256,256,32,1,1,27.6246,31095.3,0.031428441,
